Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,29.82,-27.62,180.0,top
C1,15.14,-24.05,-90.0,top
C10,62.74,-8.27,0.0,top
C11,72.67,-13.29,0.0,top
C12,72.425,-11.33,0.0,top
C13,74.12,-7.8,90.0,top
C14,69.1,-5.71,180.0,top
C15,72.64,-8.93,90.0,top
C16,72.65,-6.77,90.0,top
C17,66.8,-6.88,90.0,top
C18,21.3,-23.37,-90.0,top
C19,71.32,-8.94,90.0,top
C2,70.86,-22.0,0.0,top
C20,71.36,-6.8,90.0,top
C21,38.004,-22.06,180.0,top
C22,35.8,-18.88,-90.0,top
C23,39.79,-6.2,90.0,top
C24,43.99,-12.71,0.0,top
C25,41.3,-17.7596,-90.0,top
C26,42.8,-17.7596,-90.0,top
C27,33.45,-14.73,180.0,top
C28,33.8,-16.48,180.0,top
C29,45.3,-26.42,0.0,top
C3,70.29,-20.47,-90.0,top
C30,36.2,-6.88,90.0,top
C31,32.7,-4.47,0.0,top
C32,34.91,-23.32,90.0,top
C33,29.5,-23.49,90.0,top
C34,29.56,-20.46,0.0,top
C35,51.9,-21.88,0.0,top
C36,58.8,-16.38,90.0,top
C37,11.78,-28.61,-90.0,top
C38,24.72,-26.58,90.0,top
C39,64.34,-23.37,90.0,top
C4,76.15,-11.05,90.0,top
C40,65.44,-23.37,90.0,top
C5,71.37,-20.43,-90.0,top
C6,74.19,-13.01,-90.0,top
C7,62.8,-19.69,90.0,top
C8,72.54,-18.07,0.0,top
C9,72.97,-14.7,0.0,top
D1,57.9,-5.48,0.0,top
D2,49.98,-25.94,0.0,top
FB1,32.3,-23.38,-90.0,top
J1,64.865,-1.67,-90.0,top
J2,26.675,-5.065,-90.0,top
J3,7.3,-23.57,-90.0,top
J4,82.51,-28.07,-90.0,top
J7,33.61,-1.81,90.0,top
J8,54.04,-1.67,-90.0,top
L1,14.33,-21.74,0.0,top
L2,75.67,-12.55,180.0,top
L3,72.88,-20.8325,90.0,top
PWR1,23.99,-23.68,90.0,top
R1,41.0,-5.88,-90.0,top
R10,55.2,-5.38,180.0,top
R11,36.16,-13.94,180.0,top
R12,24.74,-28.4732,-90.0,top
R13,45.67,-28.43,180.0,top
R14,32.8,-10.88,180.0,top
R15,33.23,-12.65,180.0,top
R16,32.68,-6.87,180.0,top
R17,32.8,-8.68,180.0,top
R18,18.47,-20.24,90.0,top
R19,32.8,-9.88,180.0,top
R2,43.97,-13.78,180.0,top
R20,16.76,-20.28,-90.0,top
R21,50.97,-23.07,0.0,top
R22,60.21,-12.77,-90.0,top
R23,44.0,-9.28,180.0,top
R24,19.81,-20.21,90.0,top
R25,21.23,-20.2,90.0,top
R26,58.96,-12.65,90.0,top
R27,43.74,-16.1616,0.0,top
R28,63.24,-23.37,90.0,top
R29,63.26,-21.57,180.0,top
R3,21.32,-27.55,-90.0,top
R30,34.64,-27.67,-90.0,top
R31,25.69,-20.07,-90.0,top
R4,43.7656,-14.9988,180.0,top
R5,44.0,-11.68,180.0,top
R6,44.03,-10.38,180.0,top
R7,10.6,-28.61,-90.0,top
R8,44.0,-7.58,180.0,top
R9,22.5,-23.38,-90.0,top
RST1,16.5,-27.65,180.0,top
SW2,39.8,-27.68,180.0,top
U1,67.2,-14.48,90.0,top
U2,18.28,-23.7,0.0,top
U3,39.3,-10.78,90.0,top
U4,49.5,-16.58,-90.0,top
U5,55.2,-15.58,-90.0,top
Y1,68.8,-7.58,180.0,top
Y2,38.3,-18.68,90.0,top
